#license: CC-BY-4.0
#mapping_set_id: HeritageGraph
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-06-23
#curie_map: 
# heritageGraph: https://w3id.org/heritagegraph/
# linkml: https://w3id.org/linkml/
# rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# owl: http://www.w3.org/2002/07/owl#
# xsd: http://www.w3.org/2001/XMLSchema#
# skos: http://www.w3.org/2004/02/skos/core#
# dcterms: http://purl.org/dc/terms/
# dct: http://purl.org/dc/terms/
# pav: http://purl.org/pav/
# void: http://rdfs.org/ns/void#
# geo: http://www.opengis.net/ont/geosparql#
# time: http://www.w3.org/2006/time#
# wgs84: http://www.w3.org/2003/01/geo/wgs84_pos#
# aat: http://vocab.getty.edu/aat/
# tgn: http://vocab.getty.edu/tgn/
# wikidata: http://www.wikidata.org/entity/
# schema: http://schema.org/
# dbo: http://dbpedia.org/ontology/
# foaf: http://xmlns.com/foaf/0.1/
# edm: http://www.europeana.eu/schemas/edm/
# orcid: https://orcid.org/
# localcontexts: https://voc.localcontexts.org/
# datacite: http://purl.org/spar/datacite/
# prov: http://www.w3.org/ns/prov#
# crm: http://www.cidoc-crm.org/cidoc-crm/
# crmsci: http://www.cidoc-crm.org/extensions/crmsci/
# crminf: http://www.cidoc-crm.org/extensions/crminf/
# rico: https://www.ica.org/standards/RiC/ontology#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
heritageGraph:carried_out_activity	carried_out_activity	skos:broadMatch		crm:P14i_performed		skos:broadMatch	HeritageGraph									
heritageGraph:has_condition_type	ConditionState_has_condition_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:consecrated_object	consecrated_object	skos:broadMatch		crm:P11_had_participant		skos:broadMatch	HeritageGraph									
heritageGraph:consecrated_object	Consecration_consecrated_object	skos:broadMatch		crm:P11_had_participant		skos:broadMatch	HeritageGraph									
heritageGraph:custodian_type	custodian_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:death_timespan	death_timespan	skos:broadMatch		crm:P4_has_time-span		skos:broadMatch	HeritageGraph									
heritageGraph:enshrined_deity	enshrined_deity	skos:broadMatch		crm:P12_occurred_in_the_presence_of		skos:broadMatch	HeritageGraph									
heritageGraph:enshrined_in_structure	enshrined_in_structure	skos:broadMatch		crm:P8_took_place_on_or_within		skos:broadMatch	HeritageGraph									
heritageGraph:enshrined_deity	Enshrinement_enshrined_deity	skos:broadMatch		crm:P12_occurred_in_the_presence_of		skos:broadMatch	HeritageGraph									
heritageGraph:enshrined_in_structure	Enshrinement_enshrined_in_structure	skos:broadMatch		crm:P8_took_place_on_or_within		skos:broadMatch	HeritageGraph									
heritageGraph:generated_assertion	generated_assertion	skos:broadMatch		prov:generated		skos:broadMatch	HeritageGraph									
heritageGraph:guthi_type	Guthi_guthi_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
